Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Верхола,Данило,Тимофійович,Чоловіча,30-10-1956,Вчитель,село Коростишів,"узвіз Скрипковий, буд. 838 кв. 370, Антрацит, 65092",+380 65 237-46-55,shylohlib@example.net
Бабариченко,Костянтин,Ігоревич,Чоловіча,10-12-1978,Краєзнавець,селище П'ятихатки,"сквер Соляний 5-й, буд. 5, Полонне, 74377",+380 88 593 16 63,npylypenko@example.net
Ємець,Данна,Лук’янівна,Жіноча,02-06-1989,Менеджер,місто Буськ,"сквер Луїджі Іоріні, буд. 939, Антрацит, 91782",006 208 24 10,sviatoslava88@example.net
Доценко,Георгій,Леонідович,Чоловіча,03-10-1997,Правник,хутір Вишневе,"площа Хаджибейський, буд. 3 кв. 93, Токмак, 97826",+380 19 305-50-03,msaienko@example.org
Лисенко,Дарина,Борисівна,Жіноча,01-07-1957,Стоматолог,місто Вознесенівка,"узвіз Бориса Дерев'янка, буд. 39, Вугледар, 79184",+380 28 115-00-71,zhuravelada@example.net
Дахно,Оксенія,Артемівна,Жіноча,13-03-1972,Архітектор,місто Полонне,"набережна Астрономічний, буд. 18, Сватове, 80667",222 96 17,radchenkovasyl@example.net
Опанасенко,Зорян,Лук’янович,Чоловіча,21-02-1969,Гицель,місто Прип'ять,"сквер Куниці, буд. 5 кв. 06, Лохвиця, 32603",068 942 92 04,qchaban@example.org
Чередник,Дарина,Святославівна,Жіноча,03-03-1973,Лікар,хутір Остер,"сквер Лінія 27-ма, буд. 5 кв. 087, Южне, 32943",097 335 35 61,venedyktdanylenko@example.org
Хоменко,Герман,Євгенович,Чоловіча,26-09-1961,Соціолог,місто Моспине,"площа Рятувальників, буд. 41 кв. 39, Рудки, 02680",041 743-73-19,zaporozhetsievhen@example.org
Ковалюк,Борислав,Святославович,Чоловіча,13-05-1972,Фотограф,селище Кобеляки,"узвіз Мукачівський, буд. 115, Донецьк, 31660",+380 59 979-48-19,andriiovychviacheslav@example.org
Бабійчук,Валентин,Тимофійович,Чоловіча,18-01-1947,Доцент,село Вільногірськ,"сквер Дальній, буд. 494 кв. 8, Олевськ, 08349",074 664-50-84,sofiiaazhazha@example.org
Товстуха,Гліб,Петрович,Чоловіча,02-09-1951,Фізик,селище Курахове,"шосе Севастопольський, буд. 49 кв. 2, Очаків, 52767",+380 59 622 76 86,bevzenkoopanas@example.org
Кащенко,Роксолана,Василівна,Жіноча,06-02-1951,Скульптор,село Новогродівка,"сквер Діхтієвського Віктора, буд. 689, Сокологірськ, 65191",+380 14 645-28-85,tetiana34@example.org
Лукаш,Семен,Ігоревич,Чоловіча,13-12-1990,Євнух,місто Жовті Води,"узвіз Покровський, буд. 901 кв. 347, Дружківка, 36456",+380 27 091-61-06,khrystyna32@example.com
Аврамчук,Роксолана,Михайлівна,Жіноча,09-12-1994,Футболіст,село Новоукраїнка,"шосе Залізничний 3-й, буд. 649, Прилуки, 99974",550-72-19,olha08@example.net
Гаєвський,Єфрем,Денисович,Чоловіча,03-06-2000,Державний службовець,місто Герца,"шосе Дачний 1-й, буд. 0, Суходільськ, 91637",277-83-51,anton90@example.net
Ярема,Марта,Михайлівна,Жіноча,28-06-1942,Промисловець,селище Яготин,"сквер Старицького, буд. 8 кв. 554, Привілля, 37044",+380 (89) 677-29-09,nosachenkookseniia@example.com
Артим,Миколай,Денисович,Чоловіча,26-11-1967,Пекар,місто Шепетівка,"набережна Грецький, буд. 301 кв. 6, Перещепине, 84124",064 264 32 51,nazar36@example.net
Яременко,Софія,Василівна,Жіноча,07-10-2003,Єгер,хутір Зборів,"набережна Зоопаркова, буд. 4, Скалат, 96544",+380 43 649 11 08,geretanestor@example.com
Стець,Варфоломій,Васильович,Чоловіча,08-06-1963,Піаніст,селище Світлодарськ,"парк Східчастий 4-й, буд. 7 кв. 17, Українка, 01347",+380 06 894 97 02,teodorperebyinis@example.net
Цушко,Сергій,Павлович,Чоловіча,07-10-1945,Няня,село Зимогір'я,"шосе Кременецький, буд. 08, Верхівцеве, 47508",603-51-25,yskorobohatko@example.com
Баклан,Єва,Романівна,Жіноча,01-07-1955,Педагог,селище Українка,"узвіз Пересипський 2-й, буд. 9, Кіцмань, 26865",549-74-00,levchenkoiustyna@example.net
Швачка,Антон,Аркадійович,Чоловіча,21-09-1979,Дипломат,хутір Дрогобич,"площа Віталія Блажка, буд. 8, Охтирка, 94768",035 585-18-55,datsiukmaryna@example.net
Носаченко,Розалія,Аркадіївна,Жіноча,14-07-1994,Історик,село Перемишляни,"проспект Просвіти, буд. 330 кв. 8, Нововолинськ, 53244",+380 11 483-82-34,bezborodkovioletta@example.org
Туркало,Еріка,Андріївна,Жіноча,11-10-2004,Клоун,село Новодністровськ,"парк Радісна, буд. 765, Щастя, 13660",052 413-42-93,tetiana01@example.org
Ніколюк,Єлисавета,Юріївна,Жіноча,03-02-1955,Промисловець,місто Херсон,"парк Михайла Врубеля, буд. 7 кв. 467, Ізяслав, 75168",832-18-82,dhaidai@example.com
Скиба,Розалія,Леонідівна,Жіноча,16-08-1942,Гірник,село Сокологірськ,"узвіз Лінія 25-та, буд. 369 кв. 9, Тиврів, 33467",+380 51 090 04 04,sviatoslavaumanets@example.net
Асаула,Ліза,Владиславівна,Жіноча,14-05-1957,Дизайнер,селище Київ,"набережна Дюківська, буд. 5 кв. 347, Моршин, 18161",+380 03 846-42-25,ciaremkiv@example.org
Єременко,Дан,Маркелович,Чоловіча,13-01-2005,Сантехнік,хутір Вашківці,"шосе Скляний 3-й, буд. 96, Переяслав, 62599",716 68 56,okhrymovychdavyd@example.org
Вишняк,Розалія,Рустамівна,Жіноча,24-10-1961,Візажист,селище Коростишів,"вулиця Лінія 22-га, буд. 21 кв. 528, Львів, 98008",+380 27 869 78 18,oliinyksvitlana@example.org
Жук,Андрій,Олегович,Чоловіча,28-09-1954,Швачка,місто Лозова,"вулиця Берегова, буд. 975, Перемишляни, 35830",475-31-80,mariia04@example.com
Вертипорох,Олекса,Романович,Чоловіча,25-07-1967,Ріелтор,селище Кипуче,"парк Юннатів 3-й, буд. 051, Новоград-Волинський, 65889",759-13-62,ierchenkoarsen@example.net
Зінкевич,Пріска,Матвіївна,Жіноча,01-05-2008,Футболіст,село Ромни,"узвіз Путьова, буд. 4, Барвінкове, 95491",926-67-68,aaronderevianko@example.com
Ільченко,Станіслав,Павлович,Чоловіча,27-06-2004,Скульптор,хутір Гребінка,"площа Пересипська 1-ша, буд. 212, Люботин, 57232",+380 53 809 10 25,alekseienkopavlo@example.net
Оліфіренко,Георгій,Назарович,Чоловіча,12-08-1976,Зоолог,місто Корець,"вулиця Куликовський 2-й, буд. 143, Чоп, 50864",091 548-72-76,kamilla96@example.com
Онищенко,Пармен,Степанович,Чоловіча,14-11-2004,Державний службовець,село Винники,"узвіз Лінія 54-та, буд. 8 кв. 6, Верхньодніпровськ, 38611",086 212 43 50,boleslavgerega@example.net
Баранець,Леонтій,Аркадійович,Чоловіча,23-09-1980,Електромонтажник,хутір Зміїв,"шосе Ярослава Баїса, буд. 9 кв. 429, Хутір-Михайлівський, 69567",070 703-23-16,ievhen79@example.com
Вакарчук,Ганна,Петрівна,Жіноча,27-05-1991,Актор,хутір Ананьїв,"провулок Фруктова, буд. 7, Мостиська, 28398",025 449 48 71,olesoberemko@example.org
Харченко,Іван,Святославович,Чоловіча,19-10-1984,Біолог,село Борщів,"площа Андрія Гулого-Гуленка, буд. 5 кв. 825, Жидачів, 63820",+380 57 571-00-87,sofiia00@example.net
Гайдай,Едуард,Денисович,Чоловіча,28-04-1989,Зоолог,місто Вовчанськ,"площа Хортицька, буд. 0, Генічеськ, 46553",+380 18 443-21-29,alina71@example.org
Габелко,Богуслав,Аркадійович,Чоловіча,27-05-1973,Акушер,селище Заставна,"провулок Лузанівський 1-й, буд. 5 кв. 99, Городенка, 22395",006 258-92-72,ustym22@example.org
Ребрик,Іван,Антонович,Чоловіча,24-07-1972,Актор,хутір Прилуки,"площа Астрономічний, буд. 19, Бунге, 98232",029 282 06 54,iaroslav04@example.com
Вакарчук,Ірина,Валентинівна,Жіноча,19-11-1952,Геолог,село Чоп,"набережна Березова, буд. 205, Полтава, 13728",+380 (91) 903-56-29,vysochannazar@example.net
Щорс,Сніжана,Іванівна,Жіноча,04-12-1978,Патологоанатом,селище Ковель,"шосе Бісквітний, буд. 221 кв. 0, Лохвиця, 54628",170 52 01,wnikoliuk@example.com
Скиба,Гліб,Станіславович,Чоловіча,07-11-1946,Публіцист,село Радехів,"вулиця Аркадійська, буд. 67 кв. 285, Джанкой, 22880",608 69 57,jbalaban@example.org
Філіпенко,Назар,Єгорович,Чоловіча,30-01-1939,Державний службовець,місто Слов'янськ,"площа Шостої 2-й, буд. 10, Тиврів, 29985",+380 35 010-13-94,rshapoval@example.org
Гречко,Тарас,Арсенович,Чоловіча,13-05-1979,Сантехнік,хутір Сіверськ,"шосе Дениса Максишка, буд. 881 кв. 02, Тальне, 33632",030 536 50 95,skorobohatkoliliia@example.net
Ісаєнко,Богодар,Сергійович,Чоловіча,22-09-1968,Астроном,місто Чортків,"вулиця Троїцька, буд. 486 кв. 70, Лохвиця, 75226",+380 02 774-92-97,lysenkoarkadii@example.net
Яценко,Юстим,Григорович,Чоловіча,29-08-1942,Складальник,селище Київ,"парк Водний, буд. 935, Тальне, 20292",+380 67 600-23-56,ylysenko@example.net
Кальченко,Аврелій,Єгорович,Чоловіча,07-12-1962,Ді-джей,хутір Кальміуське,"набережна Трудовий, буд. 21 кв. 0, Боярка, 46831",+380 (48) 750-81-53,rubetsdmytro@example.com
Таран,Ярослав,Єгорович,Чоловіча,18-07-1945,Кінорежисер,хутір Жидачів,"парк Десятого квітня, буд. 2, Отаманівка, 45971",543-85-58,taranpylyp@example.org
Щербань,Миколай,Денисович,Чоловіча,17-02-1984,Зоолог,село Андрушівка,"площа Осіння, буд. 839 кв. 040, Українськ, 58501",538-57-05,zinchukmarta@example.net
Устенко,Алла,Павлівна,Жіноча,16-03-1958,Журналіст,селище Калуш,"сквер Гена Іоганна, буд. 9, Енергодар, 93734",071 088 22 81,rostyslavchumachenko@example.org
Тихий,Яків,Євгенович,Чоловіча,23-10-1998,Пекар,місто Жовква,"набережна Одеса-Головна, буд. 666 кв. 600, Жмеринка, 49590",558-18-46,albina06@example.net
Вобла,Роман,Іванович,Чоловіча,13-07-1984,Бухгалтер,хутір Міусинськ,"проспект Валіховський, буд. 17, Козятин, 86631",+380 71 328 82 22,bhydenkoandrii@example.net
Бабʼюк,Ольга,Іванівна,Жіноча,25-09-1979,Скульптор,місто Ізюм,"набережна Щіпний, буд. 0 кв. 299, Помічна, 09366",047 243-83-94,bohodar91@example.com
Сацюк,Аврелій,Омелянович,Чоловіча,02-02-1972,Мистецтвознавець,село Хмельницький,"сквер Дмитра Сигаревича, буд. 19 кв. 303, Дубровиця, 16700",+380 (95) 834-77-10,chavrylets@example.com
Михайличенко,Богуслав,Борисович,Чоловіча,16-12-1955,Музичний редактор,село Дружківка,"площа Астрономічна, буд. 91, Енергодар, 92508",405-10-68,konopliaustym@example.org
Гаврюшенко,Аніта,Григорівна,Жіноча,06-09-1965,Біолог,село Кам'янка (Черкаська область),"площа Джерельна, буд. 8 кв. 49, Берислав, 36000",066 515 69 36,iaroslavabaklan@example.org
Шило,Франц,Степанович,Чоловіча,22-08-1941,Палеонтолог,хутір Сквира,"набережна Спортивна, буд. 152 кв. 890, Ворожба, 04952",+380 53 634-57-44,iiefymenko@example.com
Бабійчук,Борис,Григорович,Чоловіча,15-06-1995,Секретар,селище Рахів,"площа Топольського, буд. 02, Батурин, 07752",531 73 71,tereza00@example.net
Цимбал,Алевтин,Геннадійович,Чоловіча,21-05-1979,Гицель,місто Алушта,"сквер Скидановська, буд. 41 кв. 5, Рахів, 25831",+380 (92) 359-11-52,avrelii22@example.com
Каденюк,Аліна,Назарівна,Жіноча,02-02-1966,Бібліограф,місто Дебальцеве,"сквер Льва Симиренка, буд. 417 кв. 9, Костопіль, 07452",+380 71 155 57 89,dholyk@example.org
Жадан,Леонід,Васильович,Чоловіча,02-05-2002,Педагог,місто Нетішин,"провулок Західний 2-й, буд. 675 кв. 7, Берислав, 72621",+380 58 641 90 96,pavloostapchuk@example.net
Гаврюшенко,Павло,Ігоревич,Чоловіча,31-03-1939,Дерун,місто Новгород-Сіверський,"вулиця Інглезі, буд. 613 кв. 31, Новогродівка, 69372",+380 (05) 152-47-83,ukybkalo@example.org
Харченко,Соломія,Єгорівна,Жіноча,21-01-1943,Мінералог,місто Тисмениця,"провулок Волова, буд. 32, Дубляни, 32423",+380 92 348-25-13,aonishchuk@example.net
Башполченко,Еріка,Андріївна,Жіноча,23-07-2006,Паблік рилейшнз,хутір Турка,"вулиця Мала, буд. 4, Торецьк, 57174",+380 (90) 866-85-40,borystaran@example.com
Артюшенко,Орест,Ілліч,Чоловіча,16-01-1989,Співак,місто Путивль,"узвіз Щоглова, буд. 19, Нова Одеса, 92067",+380 (83) 768-53-78,cdziuba@example.net
Мазур,Святослава,Петрівна,Жіноча,23-02-1986,Музикант,село Снігурівка,"сквер Нафтовиків 3-й, буд. 18 кв. 404, Вашківці, 46602",430-11-45,zakhar21@example.org
Кибкало,Вʼячеслав,Веніамінович,Чоловіча,09-07-1965,Адвокат,місто Семенівка,"площа Кишинівська, буд. 325, Гірник, 72624",064 837 86 30,sachenkoivan@example.net
Алексюк,Едита,Богданівна,Жіноча,23-02-1997,Епідеміолог,селище Молочанськ,"провулок Князівський, буд. 7, Мукачево, 66867",+380 51 897 20 22,vadym77@example.net
Андрієвич,Ольга,Романівна,Жіноча,05-01-1994,Кінорежисер,селище Буча,"узвіз Жевахова, буд. 3 кв. 4, Генічеськ, 56741",027 307 52 06,maksym47@example.org
Заруба,Володимира,Петрівна,Жіноча,08-05-1965,Астронавт,хутір Хуст,"сквер Уральська, буд. 2 кв. 66, Трускавець, 41079",+380 52 778-37-51,furslukian@example.org
Вишиваний,Василь,Владиславович,Чоловіча,03-04-1950,Інженер,місто Берислав,"шосе Локомотивний 1-й, буд. 088, Бар, 89820",+380 90 611-56-91,irynariabchenko@example.net
Редько,Петро,Юрійович,Чоловіча,11-03-1973,Програміст,хутір Рава-Руська,"проспект Глаубермана, буд. 6 кв. 377, Полтава, 26174",038 372 38 53,xhaidamaka@example.com
Гриценко,Азар,Арсенович,Чоловіча,01-01-1958,Археолог,хутір Кремінна,"провулок Юхима Фесенка, буд. 2, Могилів-Подільський, 22398",398-21-71,ievhenadamchuk@example.net
Данчук,Едита,Юріївна,Жіноча,22-03-1980,Актор,хутір Жовква,"площа Четверта, буд. 7, Донецьк, 29345",080 684 50 52,andreikoorkhyp@example.net
Юрченко,Микита,Георгійович,Чоловіча,22-06-1964,Композитор,місто Інкерман,"проспект Караїмська, буд. 03, Новоград-Волинський, 93233",262-56-02,mazursviatoslava@example.org
Верхола,Алла,Олегівна,Жіноча,06-12-2000,Модельєр,хутір Хмільник,"набережна Дачна, буд. 52, Полтава, 56837",442-30-69,zynovii47@example.com
Забара,Трохим,Максимович,Чоловіча,14-05-1986,Штукатур,село Узин,"шосе Пісочний, буд. 66, Чугуїв, 20903",773 74 82,odzyndra@example.org
Заруба,Тереза,Артемівна,Жіноча,06-08-1960,Літературознавець,селище Бар,"шосе Лігінська, буд. 142 кв. 05, Чуднів, 72769",866-73-92,sahalsviatoslava@example.com
Остапчук,Станіслав,Валентинович,Чоловіча,11-03-1983,Палеонтолог,хутір Пологи,"набережна Зої Бутенко, буд. 486, Новий Розділ, 11534",+380 29 141 10 02,maksymlaba@example.org
Фурс,Костянтин,Ілліч,Чоловіча,14-06-1945,Кінорежисер,селище Вижниця,"вулиця Волова, буд. 9, Волноваха, 90861",035 816-95-71,fedirtsisyk@example.net
Шаповал,Олесь,Єгорович,Чоловіча,02-03-1955,Епідеміолог,селище Долинська,"вулиця Міцкевича, буд. 019, Дергачі, 23805",+380 (17) 437-98-15,gtychyna@example.org
Сагаль,Сніжана,Іллівна,Жіноча,21-04-2007,Вчитель,село Багачеве,"провулок Роздольна, буд. 821, Бориспіль, 80844",+380 79 209-90-11,myroslavlaba@example.com
Тарасенко,Едита,Веніамінівна,Жіноча,11-10-1977,Актор,місто Андрушівка,"проспект Лінія 51-ша, буд. 04 кв. 2, Устилуг, 74115",387-55-03,bchernenko@example.com
Воблий,Софія,Омелянівна,Жіноча,28-07-1998,Реабілітолог,хутір Самбір,"провулок Педагогічний, буд. 4 кв. 60, Гола Пристань, 98587",023 045-59-19,danylchukvasyl@example.net
Пустовіт,Святослава,Євгенівна,Жіноча,16-11-1994,Журналіст,місто Ладижин,"вулиця Лузанівка, буд. 437, Мелітополь, 55343",899-25-95,riaboviloleh@example.org
Андрейко,Владислав,Назарович,Чоловіча,04-01-1997,Петрограф,місто Радомишль,"узвіз Андреєвського, буд. 6, Шахтарське, 85019",+380 46 630-76-45,qfranchuk@example.com
Алексеєнко,Левко,Рустамович,Чоловіча,18-01-1993,Науковець,село Джанкой,"парк Маразліївська, буд. 9 кв. 85, Ічня, 16624",020 924-35-64,marusiagerus@example.com
Сич,Антон,Федорович,Чоловіча,03-11-1942,Єгер,село Турка,"шосе Миколи Вороного, буд. 21 кв. 66, Гребінка, 23046",486 73 92,borys40@example.org
Франко,Галина,Григорівна,Жіноча,03-01-1973,Краєзнавець,хутір Жидачів,"площа Володимира Антоновича, буд. 36, Кам'янка-Бузька, 34666",332 71 43,avhustyn63@example.com
Ємець,Арсен,Тимофійович,Чоловіча,06-04-1989,Детектив,місто Суми,"набережна Хлібна гавань, буд. 317, Таврійськ, 83029",+380 10 757-54-57,virapustovit@example.net
Зарудний,Ігор,Арсенович,Чоловіча,20-09-2008,Акушер,хутір Рені,"набережна Миргородський, буд. 493 кв. 720, Селидове, 94467",008 117-00-27,adam56@example.com
Рева,Єфрем,Михайлович,Чоловіча,21-02-1969,Каскадер,селище Дубровиця,"провулок Грецька, буд. 9 кв. 025, Павлоград, 08311",+380 40 392-09-68,vakhniikyrylo@example.com
Рябченко,Теодор,Васильович,Чоловіча,10-12-1952,Перекладач,хутір Златопіль,"узвіз Чернігівська, буд. 954 кв. 214, Кодима, 55834",098 085-00-91,tsiutsiuramykhailo@example.org
Кириленко,Віталій,Володимирович,Чоловіча,18-04-1996,Флорист,село Костопіль,"набережна Дачний 1-й, буд. 2, Борислав, 03146",+380 12 700-20-81,ptelizhenko@example.org
Бевзенко,Давид,Денисович,Чоловіча,13-12-1947,Живописець,місто Ізмаїл,"сквер Поштова, буд. 4, Саки, 37874",740-18-93,andriishamrai@example.com
Адаменко,Олесь,Федорович,Чоловіча,19-01-1940,Бібліограф,хутір Луганськ,"узвіз Бісквітний, буд. 537, Кальміуське, 51933",+380 22 528-38-57,bohuslavvivcharenko@example.net
Швачко,Віолетта,Тарасівна,Жіноча,13-09-1962,Журналіст,хутір Іршава,"проспект Тополина, буд. 490, Дубляни, 09501",030 081 75 75,vdovychenkoivan@example.org
Фастенко,Дмитро,Святославович,Чоловіча,12-10-1973,Ді-джей,хутір Сорокине,"площа Хвиляста, буд. 5, Кам'янець-Подільський, 28909",+380 67 001-25-80,solomiiavakarchuk@example.com
Кибкало,Ростислав,Андрійович,Чоловіча,17-03-1990,Промисловець,місто Зеленодольськ,"шосе Соляний 4-й, буд. 998, Вільнянськ, 03193",096 972 73 30,trokhym88@example.com
Височан,Розалія,Ярославівна,Жіноча,28-07-1969,Фармацевт,село Славута,"проспект Херсонський, буд. 22 кв. 4, Деражня, 42589",+380 85 942-42-42,heorhii21@example.com
Масоха,Анастасія,Павлівна,Жіноча,23-01-1955,Нотаріус,селище Рубіжне,"площа Миколи Пильчикова, буд. 597, Хутір-Михайлівський, 68076",055 658-76-83,pperepelytsia@example.org
Забашта,Лесь,Степанович,Чоловіча,23-06-1996,Географ,місто Остер,"площа Північний, буд. 756, Христинівка, 99161",+380 (66) 778-85-65,stefan80@example.com
Тичина,Венедикт,Рустамович,Чоловіча,21-03-1998,Петрограф,селище Верхівцеве,"провулок Проценка, буд. 9, Чоп, 45837",370 33 08,illia84@example.net
Архимович,Ярема,Іванович,Чоловіча,07-05-1962,Редактор,селище Болехів,"узвіз Радіальна, буд. 27, Хмельницький, 33882",089-66-66,bdashkevych@example.com
Нестеренко,Руслан,Маркелович,Чоловіча,03-04-1945,Мовознавець,село Молочанськ,"шосе Остапа Вишні, буд. 95 кв. 258, Святогірськ, 55100",010 330-60-85,mykolaidemydenko@example.com
Жаліло,Борислав,Романович,Чоловіча,26-01-1964,Фотограф,хутір Тернопіль,"площа Отрадна, буд. 496, Краматорськ, 96253",+380 (86) 119-43-24,mykhailychenkohlib@example.com
Ґерета,Ада,Іванівна,Жіноча,03-03-1992,Штукатур,хутір Кам'янка-Дніпровська,"вулиця Лиманчик 2-й Лінія 8-ма, буд. 20 кв. 740, Копичинці, 62092",005 854 29 20,vhunko@example.net
Вдовенко,Георгій,Артемович,Чоловіча,16-08-1965,Історик,місто Винники,"провулок Деревообробна, буд. 5, Докучаєвськ, 04284",+380 93 196-03-12,liudmylasomko@example.com
Супруненко,Азар,Олександрович,Чоловіча,19-04-1978,Палеонтолог,хутір Березне,"парк Баркасний, буд. 18 кв. 808, Васильків, 09465",242-28-78,khomykalla@example.com
Баран,Дмитро,Романович,Чоловіча,20-05-1981,Кінолог,село Сторожинець,"вулиця Восьмого Березня Лінія 1-ша, буд. 02, Мала Виска, 67888",059 593 64 29,lukiankabanenko@example.net
Ісаєвич,Клавдія,Владиславівна,Жіноча,26-04-1961,Фольклорист,місто Турка,"вулиця Садовського, буд. 07, Старий Самбір, 05712",+380 06 654-68-64,leopold73@example.net
Негода,Віра,Валентинівна,Жіноча,06-02-1967,Детектив,місто Коростишів,"площа Палубний, буд. 86 кв. 009, Вознесенівка, 33338",092 792 08 69,anzhela20@example.com
Верховинець,Онисим,Святославович,Чоловіча,12-06-1962,Диригент,селище Горішні Плавні,"набережна Обільний 2-й, буд. 24, Овруч, 89203",+380 38 059-46-58,prykhodkopylyp@example.net
Гайдай,Валерій,Єфремович,Чоловіча,25-04-1988,Ґрунтознавець,село Мена,"набережна Вільгельма Габсбурга, буд. 6 кв. 37, Південне, 28048",765 39 59,amaliiazhuk@example.org
Скоробогатько,Устим,Артемович,Чоловіча,15-02-1995,Клоун,село Покровськ,"проспект Вітчизняна, буд. 5, Угнів, 66382",+380 (00) 271-69-75,olena27@example.com
Скирда,Орхип,Дмитрович,Чоловіча,28-05-1981,Головний меркшейдер,хутір Дергачі,"набережна Джутовий, буд. 518, Бахмач, 76134",394 36 30,varfolomiimazepa@example.org
Базилевич,Віра,Ярославівна,Жіноча,19-02-1956,Психолог,село Рудки,"узвіз Студентський 5-й, буд. 84, Хуст, 82698",+380 17 979 15 37,iakymenkovadym@example.com
Артим,Валентина,Петрівна,Жіноча,11-03-1986,Фармацевт,село Ворожба,"парк Середня, буд. 6, Хотин, 74302",072 055-12-76,raleksiichuk@example.com
Тесля,Тереза,Ігорівна,Жіноча,22-06-1979,Археолог,село Чернігів,"сквер Владислава Домбровського, буд. 94, Фастів, 15606",+380 (26) 596-36-28,tytarenkoielysei@example.net
Ґалаґан,Ярина,Петрівна,Жіноча,14-05-1972,Графік,селище Дружківка,"узвіз Чорничний, буд. 066, Кілія, 68824",092 752 49 65,khuzii@example.com
Гаврилець,Кирило,Ігоревич,Чоловіча,01-08-1973,Журналіст,хутір Родинське,"сквер Зої Пасічної, буд. 756 кв. 04, Стрий, 42435",+380 21 135 55 91,serhiiavdieienko@example.net
Батуринець,Златослава,Назарівна,Жіноча,09-09-1988,Золотар,місто Золотоноша,"набережна Садиковська, буд. 882, Луганськ, 20252",845-11-69,klavdiia22@example.com
Бандура,Аарон,Арсенович,Чоловіча,08-12-1962,Намотувальник,село Керч,"проспект Тополиний, буд. 468, Новий Калинів, 67143",+380 50 184-81-49,stanislavivashchenko@example.com
Абрагамовський,Світлана,Назарівна,Жіноча,26-12-1996,Реабілітолог,місто Любомль,"узвіз Газовий, буд. 815 кв. 3, Вільнянськ, 47174",022 746 07 73,okseniia79@example.net
Бандурка,Марʼяна,Артемівна,Жіноча,03-12-1984,Стоматолог,село Хирів,"узвіз Прохоровський, буд. 050 кв. 9, Бар, 49910",+380 (00) 772-01-22,havrylo36@example.org
Журба,Святослав,Євгенович,Чоловіча,17-08-1975,Льотчик,село Нове Давидково,"вулиця Монастирський, буд. 68, Володимир-Волинський, 59818",040 091 46 23,gilienko@example.com
Журба,Данило,Єгорович,Чоловіча,13-06-1981,Музикант,село Кролевець,"узвіз Грузовий, буд. 02, Хуст, 72897",+380 29 666-74-73,iustym36@example.com
Вітер,Мартин,Святославович,Чоловіча,25-06-1971,Стиліст,село Остер,"набережна Хімічний 3-й, буд. 022, Південне, 71764",128-66-25,klavdiiatsiupa@example.com
Рубець,Пармен,Петрович,Чоловіча,23-01-1957,Мовознавець,село Суходільськ,"шосе Дениса Максишка, буд. 845, Куп'янськ, 83860",962-61-46,artiushenkosemen@example.net
Гайда,Роман,Лук’янович,Чоловіча,10-01-1962,Бібліограф,село Нова Каховка,"узвіз Кропивницького, буд. 49, Комарно, 95448",+380 (03) 585-44-90,bevzenkoiakiv@example.com
Рудик,Володимир,Антонович,Чоловіча,30-05-1975,Продюсер,селище Світлодарськ,"парк Лінія 24-та, буд. 987, Канів, 85500",561-45-20,stefankhorishko@example.net
Онищенко,Венедикт,Лук’янович,Чоловіча,05-09-1981,Кінолог,селище Луцьк,"провулок Добровольців, буд. 694, Алчевськ, 75803",+380 04 691 54 31,taras55@example.com
Корбут,Пилип,Ярославович,Чоловіча,14-01-2003,Юрист,хутір Федорівка,"проспект Крижанівський, буд. 3 кв. 919, Кальміуське, 02877",042 478-47-32,spas74@example.com
Штокало,Єлисей,Лук’янович,Чоловіча,29-12-2001,Гірничий інженер,місто Рівне,"провулок Юннатів 1-й, буд. 19, Таврійськ, 26166",+380 52 924-33-56,haivoronskyipetro@example.net
Батуринець,Маруся,Захарівна,Жіноча,05-09-1985,Біолог,місто Гайворон,"шосе Педагогічна, буд. 695 кв. 2, Алупка, 71016",+380 (66) 389-67-60,ghabelko@example.com
Тичина,Віктор,Артемович,Чоловіча,19-02-2003,Професор,село Лозова,"проспект Байдарочний, буд. 9 кв. 9, Гола Пристань, 84524",+380 49 630-15-33,taras88@example.net
Артимишин,Ярина,Валентинівна,Жіноча,18-06-1964,Патологоанатом,місто Гадяч,"парк Чехівського, буд. 29 кв. 9, Арциз, 08064",+380 98 314 51 05,nfesenko@example.com
Сімашкевич,Соломія,Назарівна,Жіноча,02-11-1950,Сантехнік,місто Федорівка,"узвіз Проектна 2-га, буд. 435, Ананьїв, 48174",003 298 46 51,darynaparasiuk@example.com
Ляшко,Стефан,Станіславович,Чоловіча,23-09-1985,Євнух,село Світлодарськ,"проспект Старицького, буд. 722 кв. 0, Тернопіль, 29693",+380 (79) 778-29-33,avreliihuz@example.org
Стець,Феофан,Федорович,Чоловіча,18-11-1974,Редактор,селище Тернівка,"сквер Астрономічна, буд. 162 кв. 68, Новодністровськ, 29513",+380 (53) 490-01-02,zbezborodko@example.com
Луценко,Амвросій,Омелянович,Чоловіча,19-01-1939,Ботанік,хутір Чоп,"узвіз Калинова, буд. 1, Козятин, 94520",064 836 58 19,pkovpak@example.com
Баранник,Олена,Олександрівна,Жіноча,10-06-1960,Скульптор,село Почаїв,"вулиця Цебриківська, буд. 03 кв. 28, Глиняни, 58259",319 32 27,bohuslava61@example.net
Ватаманюк,Франц,Владиславович,Чоловіча,25-10-1970,Агроном,селище Хрестівка,"набережна Морський, буд. 368, Знам'янка, 99270",443 05 15,stepansvyrydenko@example.com
